ID,estacion,Distance
764,MCM,0.002036238
765,CCA,0.01880872
766,MCM,0.022115376
767,MCM,0.003212445
768,MCM,0.024766063
769,HGM,0.023237842
770,MCM,0.003540746
771,UAX,0.021087402
772,MCM,0.013469413
773,MCM,0.009572527
774,CCA,0.018888555
775,DIC,0.023472871
776,HGM,0.019291053
777,IZT,0.014670796
778,CCA,0.028113962
779,UAX,0.021524813
780,IZT,0.018911393
781,MCM,0.019688793
782,MCM,0.002984275
783,SHA,0.014676421
784,BJU,0.00099944
785,SHA,0.019957198
786,MGH,0.016429829
787,MCM,0.014091908
788,MCM,0.009569807
789,HGM,0.024434501
790,HGM,0.023501901
791,HGM,0.02130013
792,MCM,0.019292361
793,MCM,0.008574283
794,HGM,0.023159295
795,GAM,0.02702197
796,DIC,0.008065668
797,MCM,0.009562509
798,MCM,0.011147982
799,HGM,0.021309336
800,MCM,0.003208229
801,MCM,0.022173846
802,MCM,0.002813247
803,IZT,0.020220674
804,CCA,0.027899926
805,MCM,0.002977542
806,MCM,0.019279113
807,MCM,0.008759589
808,COY,0.018227343
809,MCM,0.002978894
810,SJA,0.037778792
811,HGM,0.021484879
812,HGM,0.021492838
813,MCM,0.023386911
814,NEZ,0.060485767
815,MCM,0.023391798
816,HGM,0.021722888
817,MCM,0.01898138
818,MCM,0.012726839
819,MCM,0.018947632
820,HGM,0.020970461
821,UAX,0.040067003
822,UAX,0.022155432
823,HGM,0.021799566
824,HGM,0.021832176
825,UIZ,0.037624574
826,MCM,0.0232453
827,MCM,0.003200196
828,MCM,0.016591816
829,MCM,0.019498186
830,CCA,0.027903582
831,MCM,0.013480583
832,BJU,0.025176704
833,HGM,0.021860784
834,HGM,0.020798963
835,HGM,0.022504234
836,BJU,0.010306862
837,MGH,0.023907546
838,MCM,0.019363244
839,IZT,0.031239226
840,HGM,0.014304245
841,HGM,0.017696814
842,MGH,0.02323964
843,HGM,0.020632186
844,MGH,0.022924813
845,HGM,0.017358964
846,HGM,0.017804662
847,MCM,0.009569506
848,HGM,0.024522229
849,HGM,0.021663152
850,HGM,0.015794402
851,HGM,0.019433637
852,CAM,0.024688942
853,MCM,0.003186052
854,BJU,0.002268766
855,MCM,0.021313669
856,SJA,0.022843749
857,MCM,0.003428151
858,UAX,0.040174931
859,MCM,0.007940507
860,UAX,0.04286716
861,COY,0.018205029
862,COY,0.005624038
863,MGH,0.016922908
864,HGM,0.014722416
865,UIZ,0.033796983
866,CAM,0.022743365
867,HGM,0.021303431
868,HGM,0.021065582
869,HGM,0.021396133
870,MCM,0.003157301
871,HGM,0.020898018
872,MCM,0.019287786
873,TEC,0.015607701
874,COY,0.00963429
875,MCM,0.003736478
876,MER,0.009588253
877,MCM,0.026154521
878,MER,0.007634069
879,MCM,0.017803026
880,MCM,0.019481186
