"","Asunto","Latitud","Longitud","fecha","date","day","hour","month"
"202","MNF - Manifestacion",19.4673106633816,-99.0801741183853,2014-02-11,2014-02-11 14:06:00,"Tues",14,"Feb"
"203","MNF - Manifestacion",19.4761715883417,-99.0789134801483,2014-02-11,2014-02-11 18:43:00,"Tues",18,"Feb"
"204","MCH - Marcha",19.4351922191168,-99.1498577050019,2014-02-12,2014-02-12 10:47:00,"Wed",10,"Feb"
"205","MNF - Manifestacion",19.4318285789891,-99.151223358722,2014-02-12,2014-02-12 11:37:00,"Wed",11,"Feb"
"206","MNF - Manifestacion",19.4365579463273,-99.1378750466966,2014-02-12,2014-02-12 11:39:00,"Wed",11,"Feb"
"207","MCH - Marcha",19.4374326997494,-99.1463488015335,2014-02-12,2014-02-12 13:58:00,"Wed",13,"Feb"
"208","MNF - Manifestacion",19.4786248,-99.0777638,2014-02-12,2014-02-12 19:23:00,"Wed",19,"Feb"
"209","MCH - Marcha",19.4351848,-99.1498554,2014-02-13,2014-02-13 07:24:00,"Thurs",7,"Feb"
"210","MNF - Manifestacion",19.42656,-99.1394,2014-02-13,2014-02-13 08:23:00,"Thurs",8,"Feb"
"211","MNF - Manifestacion",19.4319212565131,-99.1334230192551,2014-02-13,2014-02-13 10:55:00,"Thurs",10,"Feb"
"212","MCH - Marcha",19.4351606944205,-99.14628124012,2014-02-13,2014-02-13 11:35:00,"Thurs",11,"Feb"
"213","MNF - Manifestacion",19.3218323986318,-99.1249276763352,2014-02-13,2014-02-13 11:54:00,"Thurs",11,"Feb"
"214","MNF - Manifestacion",19.3209816990003,-99.0884130635925,2014-02-13,2014-02-13 15:03:00,"Thurs",15,"Feb"
"215","MNF - Manifestacion",19.378426347483,-99.187372170639,2014-02-13,2014-02-13 18:14:00,"Thurs",18,"Feb"
"216","MNF - Manifestacion",19.4758948601754,-99.078853016919,2014-02-13,2014-02-13 19:04:00,"Thurs",19,"Feb"
"217","MNF - Manifestacion",19.4326435590215,-99.1509023584747,2014-02-14,2014-02-14 09:45:00,"Fri",9,"Feb"
"218","MNF - Manifestacion",19.4285142976446,-99.1855833531341,2014-02-14,2014-02-14 10:56:00,"Fri",10,"Feb"
"219","MNF - Manifestacion",19.4290063106259,-99.2159468839993,2014-02-14,2014-02-14 12:20:00,"Fri",12,"Feb"
"220","MNF - Manifestacion",19.4199827571067,-99.058013290599,2014-02-15,2014-02-15 20:09:00,"Sat",20,"Feb"
"221","MCH - Marcha",19.4814494087269,-99.1283381262589,2014-02-16,2014-02-16 11:11:00,"Sun",11,"Feb"
